チーム番号,チーム名,チーム説明,ロボット番号1,ロボット番号2
1,イシマル電機,チーム1です,1,2
2,Rosenburg Diavolos (ローゼンブルグディアボロス),チーム2です,3,4
3,トラベリング,チーム3です,5,6
4,頭文字A（かしらもじえー）,チーム4です,7,8
5,ノルビックブラウ,チーム5です,9,10
6,アルパカぐんだん,チーム6です,11,12
7,聯合艦隊(れんごうかんたい),チーム7です,13,14
8,ぶらっくふぉれすと,チーム8です,15,16
9,雑草魂ナショナルズ,チーム9です,17,18
10,ロシアの虫,チーム10です,19,20
11,∑メガネi,チーム11です,21,22
12,イソカラ節,チーム12です,23,24
13,アルカナ～女帝＆愚者～,チーム13です,25,26
14,ネオねぶた讃歌,チーム14です,27,28
15,温州みかん,チーム15です,29,30
16,TwoT (ツーティー),チーム16です,31,32
17,赤黒コード,チーム17です,33,34
18,書記と雑用,チーム18です,35,36
19,屯田兵,チーム19です,38,39
20,6度目の真実,チーム20です,44,45
21,M1連合,チーム21です,41,42
22,中村＆佐々木,チーム22です,13,35
23,篠＆山田,チーム23です,37,40
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
100,　,Dummy用,99,100
